sentence_id,words,labels
1382601382042103808,Hidup,O
1382601382042103808,sesedih,O
1382601382042103808,dan,O
1382601382042103808,secaper,O
1382601382042103808,apa,O
1382601382042103808,yak,O
1382601382042103808,nyamperin,O
1382601382042103808,ig,B-PROD
1382601382042103808,atau,O
1382601382042103808,youtube,B-PROD
1382601382042103808,tim,O
1382601382042103808,lain,O
1382601382042103808,cuma,O
1382601382042103808,buat,O
1382601382042103808,ngatain,O
1382601382042103808,",",O
1382601382042103808,perasaan,O
1382601382042103808,dari,O
1382601382042103808,dulu,O
1382601382042103808,gua,O
1382601382042103808,ngefans,O
1382601382042103808,bola,O
1382601382042103808,orang,O
1382601382042103808,pada,O
1382601382042103808,santai,O
1382601382042103808,eh,O
1382601382042103808,di,O
1382601382042103808,ml,B-PROD
1382601382042103808,!,O
1382601382042103808,malah,O
1382601382042103808,gini��,O
1384747361994350598,Nadiem,B-PER
1384747361994350598,Bahas,O
1384747361994350598,Hilangnya,O
1384747361994350598,Kurikulum,O
1384747361994350598,Pancasila,O
1384747361994350598,Dengan,O
1384747361994350598,Megawati,B-PER
1384747361994350598,https://t.co/tDsHFyhKAb,O
1387837745536454657,RT,O
1387837745536454657,@nenxdyna,O
1387837745536454657,:,O
1387837745536454657,Jogja,B-LOC
1387837745536454657,utara,O
1387837745536454657,include,O
1387837745536454657,kos,O
1387837745536454657,rr,O
1387837745536454657,082265448558,O
1387837745536454657,https://t.co/8lbhRRpjQO,O
1385472532485218305,Dari,O
1385472532485218305,17,O
1385472532485218305,wisata,O
1385472532485218305,di,O
1385472532485218305,Jogja,B-LOC
1385472532485218305,ini,O
1385472532485218305,kamu,O
1385472532485218305,udah,O
1385472532485218305,pernah,O
1385472532485218305,kemana,O
1385472532485218305,aja,O
1385472532485218305,nih,O
1385472532485218305,?,O
1385472532485218305,Komen,O
1385472532485218305,di,O
1385472532485218305,bawah,O
1385472532485218305,yuk,O
1385472532485218305,!,O
1385472532485218305,-,O
1385472532485218305,Jangan,O
1385472532485218305,lupa,O
1385472532485218305,tetap,O
1385472532485218305,jaga,O
1385472532485218305,kesehatan,O
1385472532485218305,diri,O
1385472532485218305,dan,O
1385472532485218305,juga,O
1385472532485218305,kebersihan,O
1385472532485218305,tempat,O
1385472532485218305,wisata,O
1385472532485218305,agar,O
1385472532485218305,tetap,O
1385472532485218305,asri,O
1385472532485218305,ya,O
1385472532485218305,sobat,O
1385472532485218305,travella,B-PROD
1385472532485218305,-,O
1385472532485218305,Lokasi��Jogja,B-WA
1385472532485218305,Video,I-WA
1385472532485218305,by,O
1385472532485218305,@daya_hadid,B-PER
1385472532485218305,⁣.,O
1385472532485218305,.,O
1385472532485218305,.,O
1385472532485218305,Kami,O
1385472532485218305,rutin,O
1385472532485218305,setiap,O
1385472532485218305,hari,O
1385472532485218305,posting,O
1385472532485218305,foto-foto…,O
1385472532485218305,https://t.co/NGMtyskSaK,O
1386114774203736065,@jntexpressid,B-ORG
1386114774203736065,kenapa,O
1386114774203736065,kamu,O
1386114774203736065,lambat,O
1386114774203736065,bgt,O
1386114774203736065,sih,O
1386114774203736065,sekarang,O
1386114774203736065,��,O
1386114774203736065,masa,O
1386114774203736065,jogja,B-LOC
1386114774203736065,-,O
1386114774203736065,magelang,B-LOC
1386114774203736065,udah,O
1386114774203736065,2,O
1386114774203736065,hari,O
1386114774203736065,ngga,O
1386114774203736065,jalan,O
1386114774203736065,jalan,O
1382201168995045377,RT,O
1382201168995045377,@IndonesiaRahayu,O
1382201168995045377,:,O
1382201168995045377,Tak,O
1382201168995045377,henti,O
1382201168995045377,membuat,O
1382201168995045377,orang,O
1382201168995045377,menepuk,O
1382201168995045377,jidat,O
1382201168995045377,",",O
1382201168995045377,Gubernur,O
1382201168995045377,Anies,B-PER
1382201168995045377,yang,O
1382201168995045377,dulu,O
1382201168995045377,pernah,O
1382201168995045377,menyindir,O
